sentence,type,percent,is_high_risk
"Substantially all of our consolidated 2024 revenue was derived from commercial, industrial and institutional customers and multi-family residential projects.",customer,,True
"Specifically, we are currently focused on the following elements: Achieve Excellence in Core Competencies—We have identified seven core competencies that we believe are critical to attracting and retaining customers, increasing operating income and cash flow, and maximizing the productivity of our skilled labor force.",customer,,
"Maintain a Diverse Customer, Geographic, and Project Base—We have a distribution of revenue across end-use sectors that we believe reduces our exposure to negative developments in any given sector.",customer,,
"Service Growth Initiative—Over the last several years, we have made substantial investments to expand our service and maintenance revenue by increasing the value we can offer to service and maintenance customers.",customer,,True
These raw materials and components are generally available from a variety of domestic or foreign suppliers at competitive prices.,supplier,,True
"Sales and Marketing We have a diverse customer base, with our top customer representing 13.3% of consolidated 2024 revenue.",customer,13.3%,True
Our largest customer can change from year to year.,customer,,True
"We do not believe the existing regulations governing technician certification requirements for the handling of ozone-depleting substances or possible future regulations applicable to HFCs will materially affect our business on the whole because, although they require us to incur modest ongoing training costs, our competitors also incur such costs, and such regulations may encourage or require our customers to update their MEP systems.",customer,,True
"The lasting effects of a recession can also increase economic instability with our vendors, subcontractors, developers, and general contractors, which can increase our liability exposure and result in us not being paid in full or at all on some projects, thus decreasing our revenue and profit.",supplier,,
"For instance, unanticipated technical problems may arise, we could have difficulty obtaining permits or approvals, local laws, labor costs or labor conditions could change, bad weather could delay construction, raw materials prices could increase, our suppliers or subcontractors may fail to perform as expected or site conditions may be different than we expected.",supplier,,True
"Further, rising inflation may result in higher costs for labor and materials needed to complete our contracts, and we may be unable to pass these heightened costs to our customers.",customer,,True
Performance problems for existing and future projects could cause our actual results of operations to differ materially from those we anticipate and could damage our reputation within our industry and our customer base.,customer,,True
"The loss of one or a few customers could adversely affect our business, financial condition and results of operations.",customer,,
A few customers have in the past and may in the future account for a significant portion of our revenues.,customer,,True
"Although we have7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 22/159 Table of Contents long - standing relationships with many of our significant customers and believe that our portfolio of customers is reasonably diverse, one or a number of significant customers may unilaterally reduce, fail to renew, or terminate their contracts with us in the future.",customer,,True
"A loss of business from a significant customer, or a number of significant customers, could have a material adverse effect on our business, financial condition, results of operations and cash flows.",customer,,True
We hire third-party subcontractors to perform work and depend on third-party suppliers to provide equipment and materials necessary to complete our projects.,supplier,,True
"If a customer defaults in making their payments on a project to which we have devoted resources, it could have a material negative effect on our financial condition and results of operations.",customer,,True
We believe that our practice of placing significant decision-making powers with local management is important to our successful growth and allows us to be responsive to opportunities and to our customers’ needs.,customer,,True
"We use and rely significantly on sophisticated information technology systems, networks, and infrastructure in conducting our day-to-day operations, providing services to certain customers and protecting sensitive Company information.",customer,,True
"These events could impact our customers, employees and reputation and lead to financial losses from remediation actions, loss of business or access to our business data, potential liability or an increase in expenses, all of which may have a material adverse effect on our business.",customer,,True
"The inability to implement, maintain and upgrade adequate safeguards could have a material adverse effect on our business.7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 31/159 16Any failure by us or our third party vendors to maintain the security, proper function and availability of information technology and systems could result in financial losses, interrupt our operations, damage our reputation, cause us to be in default of material contracts and subject us to liability claims or regulatory penalties, any of which could materially and adversely affect our business and the value of our securities.7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 32/159 Table of Contents In addition, current and future laws and regulations governing data privacy and the unauthorized disclosure of confidential information may pose complex compliance challenges and result in additional costs.",supplier,,True
"Historically, warranty claims have not been material as our customers evaluate much of the work we perform for defects shortly after work is completed.",customer,,True
"If we are unable to pass the costs of such tariffs on to our customer base or otherwise mitigate such costs, or if demand for our services decreases due to the higher cost, our results of operations could be materially adversely affected.",customer,,True
"We, our suppliers and our customers import certain raw materials, components and other products from foreign suppliers.",customer,,True
"A variety of events may cause the market price of our common stock to fluctuate significantly, including the following: (i) the risk factors described in this Annual Report on Form 10-K; (ii) a shortfall in operating revenue or net income from that expected by securities analysts and investors; (iii) quarterly fluctuations in our operating results; (iv) changes in securities analysts’ estimates of our financial performance or that of our competitors or companies in our industry generally; (v) general conditions in our customers’ industries; (vi) general conditions in the securities markets; (vii) our announcements of significant contracts, milestones and acquisitions; (viii) our relationship with other companies; (ix) our investors’ view of the sectors and markets in which we operate; and (x) additions or departures of key personnel.",customer,,True
"We recognize the critical importance of maintaining the trust and confidence of our customers, business partners and employees.",customer,,
Prices to the customer are based on the equipment and materials used in the service as well as technician labor time.,customer,,True
"The Company has identified the following as its critical accounting estimates:7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 60/159 31Revenue Recognition – The Company recognizes revenue based on the extent of progress towards completion of the performance obligation using the cost-to-cost input method of accounting, as it best depicts the transfer of assets to the customer that occurs as we incur costs on our contracts.",customer,,
"Variations from7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 61/159 Table of Contents 32estimated project costs could have a significant impact on our operating results, depending on project size, and the recoverability of the variation from change orders collected from customers.",customer,,True
"We are recognizing these challenges in our job planning and pricing, and we are ordering materials on an earlier timeline and seeking to collaborate with customers to share supply risks and to7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 67/159 35mitigate the effects of these challenges.",customer,,True
"Although we are preparing for a wide range of future challenges and economic circumstances, including a potential recession, we currently expect that supportive conditions for our industry, especially for our industrial and technology customers, are likely to continue in 2025.7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 68/159 Table of Contents Liquidity and Capital Resources Year Ended December 31, 2024 2023 2022 (in thousands) Cash provided by (used in): Operating activities $ 849,057 $ 639,568 $ 301,531 Investing activities (343,509) (193,008) (97,178) Financing activities (160,759) (298,624) (205,915) Net increase (decrease) in cash and cash equivalents $ 344,789 $ 147,936 $ (1,562) Free cash flow: Cash provided by operating activities $ 849,057 $ 639,568 $ 301,531 Purchases of property and equipment (111,071) (94,838) (48,359) Proceeds from sales of property and equipment 5,538 5,951 2,858 Free cash flow $ 743,524 $ 550,681 $ 256,030 Cash Flow Our business does not require significant amounts of investment in long-term fixed assets.",customer,,True
The substantial majority of the capital used in our business is working capital that funds our costs of labor and installed equipment deployed in project work until our customer pays us.,customer,,True
Revenue from Contracts with Customers – Refer to Notes 2 and 3 to the Consolidated Financial Statements Critical Audit Matter Description The Company recognizes revenue based on the extent of progress towards completion of the performance obligation.,customer,,
"The Company generally uses a cost-to-cost input method to measure progress for its contracts,7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 80/159 42as it depicts the transfer of assets to the customer that occurs as the Company incurs costs, which include labor, materials, subcontractors’ costs, other direct costs, and an allocation of indirect costs.",customer,,True
"Variations from estimated project costs could have a significant impact on operating results, depending on project size, and the recoverability of the variation from change orders collected from customers.",customer,,True
"How the Critical Audit Matter was Addressed in the Audit Our audit procedures related to management’s estimates and judgments included within the Company’s estimated total costs at completion for its contracts with customers included the following, among others: ●We tested the operating effectiveness of controls over the recognition of revenue, including those over the determination of estimated total costs at contract completion (including the estimated progress toward completion).",customer,,
"We have a diverse customer base, with our top customer representing 13.3% of consolidated 2024 revenue and 17.7% of total receivables as of December 31, 2024.7/1/25, 9:07 PM Comfort Systems USA, Inc._December 31, 2024 https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/ﬁx-20241231x10k.htm 99/159 Table of Contents Financial Instruments Our financial instruments consist of cash and cash equivalents, accounts receivable, other receivables, accounts payable and life insurance policies, for which we deem the carrying values approximate their fair values due to the short-term nature of these instruments, as well as notes to former owners and a revolving credit facility.",customer,13.3%,True
"Variations from estimated project costs could have a significant impact on our operating results, depending on project size, and the recoverability of the variation from change orders collected from customers.",customer,,True
"For most of our contracts, the customer contracts with us to provide a significant service of integrating a complex set of tasks and components into a single project or capability (even if that single project results in the delivery of multiple units).",customer,,True
"Management must make assumptions and estimates regarding labor productivity and availability, the complexity of the work to be performed, the availability of materials, the length of time to complete the performance obligation (e.g., to estimate increases in wages and prices for materials and related support cost allocations), execution by our subcontractors, the availability and timing of funding from our customer, and overhead cost rates, among other variables.",customer,,True
The vendors providing the equipment and materials are responsible for any failures in their product unless installed incorrectly.,supplier,,True
"Contract assets are not considered to have a significant financing component, as they are intended to protect the customer in the event that we do not perform our obligations under the contract.",customer,,True
"Contract assets and liabilities in the Consolidated Balance Sheet consisted of the following amounts as of December 31, 2024 and December 31, 2023 (in thousands): December 31, 2024 December 31, 2023 Contract assets: Costs and estimated earnings in excess of billings, less allowance for credit losses $ 91,681 $ 28,084 Contract liabilities: Billings in excess of costs and estimated earnings and deferred revenue $ 1,149,257 $ 909,538 Contract assets and liabilities fluctuate year to year based on various factors, including, but not limited to, the variability in billing and payment terms of customers and changes in the number and size of projects in progress at period end.",customer,,
"These bonds are offered by financial institutions known as sureties and provide assurance to the customer that in the event we encounter significant financial or operational difficulties, the surety will arrange for the completion of our contractual obligations and for the payment of our vendors on the projects subject to the bonds.",customer,,True
